query_dataset,query_frame_count,query_frame_path,dino_reference_dataset,dino_reference_frame_count,dino_position_error_m,temporal_reference_dataset,temporal_reference_frame_count,temporal_reference_frame_path,temporal_rank,temporal_dino_similarity,lg_match_count,lg_inlier_count,lg_inlier_ratio,temporal_position_error_m
0010_0011,1,data\processed\frames_0010_0011_1fps\frame_000001.jpg,0008,12590,4878234.540486184,0008,12590,data\processed\frames_0008_1fps\frame_000421.jpg,1,0.4558674991130829,25,5,0.2,4878234.540486184
0010_0011,2,data\processed\frames_0010_0011_1fps\frame_000002.jpg,0008,12590,4878234.540486184,0008,12590,data\processed\frames_0008_1fps\frame_000421.jpg,1,0.4539605975151062,18,5,0.2777777777777778,4878234.540486184
0010_0011,3,data\processed\frames_0010_0011_1fps\frame_000003.jpg,0008,12590,4878234.540486184,0008,12620,data\processed\frames_0008_1fps\frame_000422.jpg,8,0.43562865257263184,22,5,0.22727272727272727,4878242.083736796
0010_0011,4,data\processed\frames_0010_0011_1fps\frame_000004.jpg,0008,12590,4878234.540486184,0008,12590,data\processed\frames_0008_1fps\frame_000421.jpg,1,0.4466913640499115,28,5,0.17857142857142858,4878234.540486184
0010_0011,5,data\processed\frames_0010_0011_1fps\frame_000005.jpg,0008,241,4877991.081961137,0008,331,data\processed\frames_0008_1fps\frame_000012.jpg,6,0.4761832654476166,16,6,0.375,4877990.951565786
0010_0011,6,data\processed\frames_0010_0011_1fps\frame_000006.jpg,0008,211,4877991.212265367,0008,271,data\processed\frames_0008_1fps\frame_000010.jpg,3,0.5443787574768066,31,9,0.2903225806451613,4877990.537120577
0010_0011,7,data\processed\frames_0010_0011_1fps\frame_000007.jpg,0008,271,4877990.537120577,0008,211,data\processed\frames_0008_1fps\frame_000008.jpg,2,0.5904395580291748,18,6,0.3333333333333333,4877991.212265367
0010_0011,8,data\processed\frames_0010_0011_1fps\frame_000008.jpg,0008,271,4877990.537120577,0008,211,data\processed\frames_0008_1fps\frame_000008.jpg,5,0.5901110768318176,22,6,0.2727272727272727,4877991.212265367
0010_0011,9,data\processed\frames_0010_0011_1fps\frame_000009.jpg,0007,1949,4877930.591945335,0007,2189,data\processed\frames_0007_1fps\frame_000074.jpg,8,0.6136311292648315,19,4,0.21052631578947367,4877863.328764637
0010_0011,10,data\processed\frames_0010_0011_1fps\frame_000010.jpg,0008,12590,4878234.540486184,0008,12500,data\processed\frames_0008_1fps\frame_000418.jpg,7,0.5867692232131958,22,5,0.22727272727272727,4878211.013108212
